longitude;latitude;housing_median_age;total_rooms;total_bedrooms;population;households;median_income;median_house_value;ocean_proximity
-122.23;37.88;41;880,00;129;322;126;83.252;452600;NEAR BAY
-122.22;37.86;21;7099,00;1106;2401;1138;83.014;358500;NEAR BAY
-122.24;37.85;52;1467,00;190;496;177;72.574;352100;NEAR BAY
-122.25;37.85;52;1274,00;235;558;219;56.431;341300;NEAR BAY
-122.25;37.85;52;1627,00;280;565;259;38.462;342200;NEAR BAY
-122.25;37.85;52;919,00;213;413;193;40.368;269700;NEAR BAY
-122.25;37.84;52;2535,00;489;1094;514;36.591;299200;NEAR BAY
-122.25;37.84;52;3104,00;687;1157;647;3.12;241400;NEAR BAY
-122.26;37.84;42;2555,00;665;1206;595;20.804;226700;NEAR BAY
-122.25;37.84;52;3549,00;707;1551;714;36.912;261100;NEAR BAY
-122.26;37.85;52;2202,00;434;910;402;32.031;281500;NEAR BAY
-122.26;37.85;52;3503,00;752;1504;734;32.705;241800;NEAR BAY
-122.26;37.85;52;2491,00;474;1098;468;3.075;213500;NEAR BAY
-122.26;37.84;52;696,00;191;345;174;26.736;191300;NEAR BAY
-122.26;37.85;52;2643,00;626;1212;620;19.167;159200;NEAR BAY
-122.26;37.85;50;1120,00;283;697;264;2.125;140000;NEAR BAY
-122.27;37.85;52;1966,00;347;793;331;2.775;152500;NEAR BAY
-122.27;37.85;52;1228,00;293;648;303;21.202;155500;NEAR BAY
-122.26;37.84;50;2239,00;455;990;419;19.911;158700;NEAR BAY
-122.27;37.84;52;1503,00;298;690;275;26.033;162900;NEAR BAY
-122.27;37.85;40;751,00;184;409;166;13.578;147500;NEAR BAY
-122.27;37.85;42;1639,00;367;929;366;17.135;159800;NEAR BAY
-122.27;37.84;52;2436,00;541;1015;478;1.725;113900;NEAR BAY
-122.27;37.84;52;1688,00;337;853;325;21.806;99700;NEAR BAY
-122.27;37.84;52;2224,00;437;1006;422;2.6;132600;NEAR BAY
-122.28;37.85;41;535,00;123;317;119;24.038;107500;NEAR BAY
-122.28;37.85;49;1130,00;244;607;239;24.597;93800;NEAR BAY
-122.28;37.85;52;1898,00;421;1102;397;1.808;105500;NEAR BAY
-122.28;37.84;50;2082,00;492;1131;473;16.424;108900;NEAR BAY
-122.28;37.84;52;729,00;160;395;155;16.875;132000;NEAR BAY
-122.28;37.84;49;1916,00;447;863;378;19.274;122300;NEAR BAY
-122.28;37.84;52;2153,00;481;1168;441;19.615;115200;NEAR BAY
-122.27;37.84;48;1922,00;409;1026;335;17.969;110400;NEAR BAY
-122.27;37.83;49;1655,00;366;754;329;1.375;104900;NEAR BAY
-122.27;37.83;51;2665,00;574;1258;536;27.303;109700;NEAR BAY
-122.27;37.83;49;1215,00;282;570;264;14.861;97200;NEAR BAY
-122.27;37.83;48;1798,00;432;987;374;10.972;104500;NEAR BAY
-122.28;37.83;52;1511,00;390;901;403;14.103;103900;NEAR BAY
-122.26;37.83;52;1470,00;330;689;309;3.48;191400;NEAR BAY
-122.26;37.83;52;2432,00;715;1377;696;25.898;176000;NEAR BAY
-122.26;37.83;52;1665,00;419;946;395;20.978;155400;NEAR BAY
-122.26;37.83;51;936,00;311;517;249;12.852;150000;NEAR BAY
-122.26;37.84;49;713,00;202;462;189;1.025;118800;NEAR BAY
-122.26;37.84;52;950,00;202;467;198;39.643;188800;NEAR BAY
-122.26;37.83;52;1443,00;311;660;292;30.125;184400;NEAR BAY
-122.26;37.83;52;1656,00;420;718;382;26.768;182300;NEAR BAY
-122.26;37.83;50;1125,00;322;616;304;2.026;142500;NEAR BAY
-122.27;37.82;43;1007,00;312;558;253;17.348;137500;NEAR BAY
-122.26;37.82;40;624,00;195;423;160;0.9506;187500;NEAR BAY
-122.27;37.82;40;946,00;375;700;352;1.775;112500;NEAR BAY
-122.27;37.82;21;896,00;453;735;438;0.9218;171900;NEAR BAY
-122.27;37.82;43;1868,00;456;1061;407;15.045;93800;NEAR BAY
-122.27;37.82;41;3221,00;853;1959;720;11.108;97500;NEAR BAY
-122.27;37.82;52;1630,00;456;1162;400;12.475;104200;NEAR BAY
-122.28;37.82;52;1170,00;235;701;233;16.098;87500;NEAR BAY
-122.28;37.82;52;945,00;243;576;220;14.113;83100;NEAR BAY
-122.28;37.82;52;1238,00;288;622;259;15.057;87500;NEAR BAY
-122.28;37.82;52;1489,00;335;728;244;0.8172;85300;NEAR BAY
-122.28;37.82;52;1387,00;341;1074;304;12.171;80300;NEAR BAY
-122.29;37.82;2;158,00;43;94;57;25.625;60000;NEAR BAY
-122.29;37.83;52;1121,00;211;554;187;33.929;75700;NEAR BAY
-122.29;37.82;49;135,00;29;86;23;61.183;75000;NEAR BAY
-122.29;37.81;50;760,00;190;377;122;0.9011;86100;NEAR BAY
-122.3;37.81;52;1224,00;237;521;159;1.191;76100;NEAR BAY
-122.3;37.81;48;828,00;182;392;133;25.938;73500;NEAR BAY
-122.3;37.81;52;1010,00;209;604;187;11.667;78400;NEAR BAY
-122.3;37.81;48;1455,00;354;788;332;0.8056;84400;NEAR BAY
-122.29;37.8;52;1027,00;244;492;147;26.094;81300;NEAR BAY
-122.3;37.81;52;572,00;109;274;82;18.516;85000;NEAR BAY
-122.29;37.81;46;2801,00;644;1823;611;0.9802;129200;NEAR BAY
-122.29;37.81;26;768,00;152;392;127;17.719;82500;NEAR BAY
-122.29;37.81;46;935,00;297;582;277;0.7286;95200;NEAR BAY
-122.29;37.81;49;844,00;204;560;152;1.75;75000;NEAR BAY
-122.29;37.81;46;12,00;4;18;7;0.4999;67500;NEAR BAY
-122.29;37.81;20;835,00;161;290;133;2.483;137500;NEAR BAY
-122.28;37.81;17;1237,00;462;762;439;0.9241;177500;NEAR BAY
-122.28;37.81;36;2914,00;562;1236;509;24.464;102100;NEAR BAY
-122.28;37.81;19;1207,00;243;721;207;11.111;108300;NEAR BAY
-122.29;37.81;23;1745,00;374;1054;325;0.8026;112500;NEAR BAY
-122.28;37.8;38;684,00;176;344;155;20.114;131300;NEAR BAY
-122.28;37.81;17;924,00;289;609;289;1.5;162500;NEAR BAY
-122.27;37.81;52;210,00;56;183;56;11.667;112500;NEAR BAY
-122.28;37.81;52;340,00;97;200;87;15.208;112500;NEAR BAY
-122.28;37.81;52;386,00;164;346;155;0.8075;137500;NEAR BAY
-122.28;37.81;35;948,00;184;467;169;18.088;118800;NEAR BAY
-122.28;37.81;52;773,00;143;377;115;24.083;98200;NEAR BAY
